,book_name,away_ml,home_ml,away_spread,away_line,home_spread,home_line,total,over_line,under_line,date,date_full,team,matchup,opp,points,points_opp,gid
99,"Stats, LLC",265,-330,7.5,-110,-7.5,-110,235,-110,-110,2020-12-22,"Wed, 23 Dec 2020 00:00:00 +0000",BKN,BKN vs. GS,GS,125,99,nba.g.2020122217
101,BetMGM,,,,,,,,,,2020-12-22,"Wed, 23 Dec 2020 00:00:00 +0000",BKN,BKN vs. GS,GS,125,99,nba.g.2020122217
99,"Stats, LLC",265,-330,7.5,-110,-7.5,-110,235,-110,-110,2020-12-22,"Wed, 23 Dec 2020 00:00:00 +0000",GS,GS @ BKN,BKN,99,125,nba.g.2020122217
101,BetMGM,,,,,,,,,,2020-12-22,"Wed, 23 Dec 2020 00:00:00 +0000",GS,GS @ BKN,BKN,99,125,nba.g.2020122217
99,"Stats, LLC",115,-135,2,-110,-2,-110,219.5,-110,-110,2020-12-22,"Wed, 23 Dec 2020 03:00:00 +0000",LAL,LAL vs. LAC,LAC,109,116,nba.g.2020122213
101,BetMGM,,,,,,,,,,2020-12-22,"Wed, 23 Dec 2020 03:00:00 +0000",LAL,LAL vs. LAC,LAC,109,116,nba.g.2020122213
99,"Stats, LLC",115,-135,2,-110,-2,-110,219.5,-110,-110,2020-12-22,"Wed, 23 Dec 2020 03:00:00 +0000",LAC,LAC @ LAL,LAL,116,109,nba.g.2020122213
101,BetMGM,,,,,,,,,,2020-12-22,"Wed, 23 Dec 2020 03:00:00 +0000",LAC,LAC @ LAL,LAL,116,109,nba.g.2020122213
99,"Stats, LLC",-160,135,-3,-110,3,-110,217,-110,-110,2020-12-23,"Thu, 24 Dec 2020 00:00:00 +0000",CLE,CLE vs. CHA,CHA,121,114,nba.g.2020122305
101,BetMGM,,,,,,,,,,2020-12-23,"Thu, 24 Dec 2020 00:00:00 +0000",CLE,CLE vs. CHA,CHA,121,114,nba.g.2020122305
99,"Stats, LLC",-160,135,-3,-110,3,-110,217,-110,-110,2020-12-23,"Thu, 24 Dec 2020 00:00:00 +0000",CHA,CHA @ CLE,CLE,114,121,nba.g.2020122305
101,BetMGM,,,,,,,,,,2020-12-23,"Thu, 24 Dec 2020 00:00:00 +0000",CHA,CHA @ CLE,CLE,114,121,nba.g.2020122305
99,"Stats, LLC",260,-320,7.5,-110,-7.5,-110,215.5,-110,-110,2020-12-23,"Thu, 24 Dec 2020 00:00:00 +0000",IND,IND vs. NY,NY,121,107,nba.g.2020122311
101,BetMGM,,,,,,,,,,2020-12-23,"Thu, 24 Dec 2020 00:00:00 +0000",IND,IND vs. NY,NY,121,107,nba.g.2020122311
99,"Stats, LLC",260,-320,7.5,-110,-7.5,-110,215.5,-110,-110,2020-12-23,"Thu, 24 Dec 2020 00:00:00 +0000",NY,NY @ IND,IND,107,121,nba.g.2020122311
101,BetMGM,,,,,,,,,,2020-12-23,"Thu, 24 Dec 2020 00:00:00 +0000",NY,NY @ IND,IND,107,121,nba.g.2020122311
99,"Stats, LLC",-200,170,-4.5,-110,4.5,-110,219,-115,-105,2020-12-23,"Thu, 24 Dec 2020 00:00:00 +0000",ORL,ORL vs. MIA,MIA,113,107,nba.g.2020122319
101,BetMGM,,,,,,,,,,2020-12-23,"Thu, 24 Dec 2020 00:00:00 +0000",ORL,ORL vs. MIA,MIA,113,107,nba.g.2020122319
99,"Stats, LLC",-200,170,-4.5,-110,4.5,-110,219,-115,-105,2020-12-23,"Thu, 24 Dec 2020 00:00:00 +0000",MIA,MIA @ ORL,ORL,107,113,nba.g.2020122319
101,BetMGM,,,,,,,,,,2020-12-23,"Thu, 24 Dec 2020 00:00:00 +0000",MIA,MIA @ ORL,ORL,107,113,nba.g.2020122319
99,"Stats, LLC",250,-310,7.5,-110,-7.5,-110,230.5,-110,-110,2020-12-23,"Thu, 24 Dec 2020 00:00:00 +0000",PHI,PHI vs. WAS,WAS,113,107,nba.g.2020122320
101,BetMGM,,,,,,,,,,2020-12-23,"Thu, 24 Dec 2020 00:00:00 +0000",PHI,PHI vs. WAS,WAS,113,107,nba.g.2020122320
99,"Stats, LLC",250,-310,7.5,-110,-7.5,-110,230.5,-110,-110,2020-12-23,"Thu, 24 Dec 2020 00:00:00 +0000",WAS,WAS @ PHI,PHI,107,113,nba.g.2020122320
101,BetMGM,,,,,,,,,,2020-12-23,"Thu, 24 Dec 2020 00:00:00 +0000",WAS,WAS @ PHI,PHI,107,113,nba.g.2020122320
99,"Stats, LLC",-195,165,-4.5,-110,4.5,-110,223.5,-110,-110,2020-12-23,"Thu, 24 Dec 2020 00:30:00 +0000",BOS,BOS vs. MIL,MIL,122,121,nba.g.2020122302
101,BetMGM,,,,,,,,,,2020-12-23,"Thu, 24 Dec 2020 00:30:00 +0000",BOS,BOS vs. MIL,MIL,122,121,nba.g.2020122302
99,"Stats, LLC",-195,165,-4.5,-110,4.5,-110,223.5,-110,-110,2020-12-23,"Thu, 24 Dec 2020 00:30:00 +0000",MIL,MIL @ BOS,BOS,121,122,nba.g.2020122302
101,BetMGM,,,,,,,,,,2020-12-23,"Thu, 24 Dec 2020 00:30:00 +0000",MIL,MIL @ BOS,BOS,121,122,nba.g.2020122302
99,"Stats, LLC",145,-170,3.5,-110,-3.5,-110,228.5,-110,-110,2020-12-23,"Thu, 24 Dec 2020 00:30:00 +0000",TOR,TOR vs. NO,NO,99,113,nba.g.2020122328
101,BetMGM,,,,,,,,,,2020-12-23,"Thu, 24 Dec 2020 00:30:00 +0000",TOR,TOR vs. NO,NO,99,113,nba.g.2020122328
99,"Stats, LLC",145,-170,3.5,-110,-3.5,-110,228.5,-110,-110,2020-12-23,"Thu, 24 Dec 2020 00:30:00 +0000",NO,NO @ TOR,TOR,113,99,nba.g.2020122328
101,BetMGM,,,,,,,,,,2020-12-23,"Thu, 24 Dec 2020 00:30:00 +0000",NO,NO @ TOR,TOR,113,99,nba.g.2020122328
99,"Stats, LLC",-125,105,-2,-110,2,-110,234.5,-110,-110,2020-12-23,"Thu, 24 Dec 2020 01:00:00 +0000",CHI,CHI vs. ATL,ATL,104,124,nba.g.2020122304
101,BetMGM,,,,,,,,,,2020-12-23,"Thu, 24 Dec 2020 01:00:00 +0000",CHI,CHI vs. ATL,ATL,104,124,nba.g.2020122304
99,"Stats, LLC",-125,105,-2,-110,2,-110,234.5,-110,-110,2020-12-23,"Thu, 24 Dec 2020 01:00:00 +0000",ATL,ATL @ CHI,CHI,124,104,nba.g.2020122304
101,BetMGM,,,,,,,,,,2020-12-23,"Thu, 24 Dec 2020 01:00:00 +0000",ATL,ATL @ CHI,CHI,124,104,nba.g.2020122304
99,"Stats, LLC",180,-220,5.5,-110,-5.5,-110,224.5,-110,-110,2020-12-23,"Thu, 24 Dec 2020 01:00:00 +0000",MIN,MIN vs. DET,DET,111,101,nba.g.2020122316
101,BetMGM,,,,,,,,,,2020-12-23,"Thu, 24 Dec 2020 01:00:00 +0000",MIN,MIN vs. DET,DET,111,101,nba.g.2020122316
99,"Stats, LLC",180,-220,5.5,-110,-5.5,-110,224.5,-110,-110,2020-12-23,"Thu, 24 Dec 2020 01:00:00 +0000",DET,DET @ MIN,MIN,101,111,nba.g.2020122316
101,BetMGM,,,,,,,,,,2020-12-23,"Thu, 24 Dec 2020 01:00:00 +0000",DET,DET @ MIN,MIN,101,111,nba.g.2020122316
99,"Stats, LLC",105,-125,2,-110,-2,-110,230,-110,-110,2020-12-23,"Thu, 24 Dec 2020 01:00:00 +0000",MEM,MEM vs. SA,SA,119,131,nba.g.2020122329
101,BetMGM,,,,,,,,,,2020-12-23,"Thu, 24 Dec 2020 01:00:00 +0000",MEM,MEM vs. SA,SA,119,131,nba.g.2020122329
99,"Stats, LLC",105,-125,2,-110,-2,-110,230,-110,-110,2020-12-23,"Thu, 24 Dec 2020 01:00:00 +0000",SA,SA @ MEM,MEM,131,119,nba.g.2020122329
101,BetMGM,,,,,,,,,,2020-12-23,"Thu, 24 Dec 2020 01:00:00 +0000",SA,SA @ MEM,MEM,131,119,nba.g.2020122329
99,"Stats, LLC",260,-320,7.5,-110,-7.5,-110,227.5,-110,-110,2020-12-23,"Thu, 24 Dec 2020 02:00:00 +0000",DEN,DEN vs. SAC,SAC,122,124,nba.g.2020122307
101,BetMGM,,,,,,,,,,2020-12-23,"Thu, 24 Dec 2020 02:00:00 +0000",DEN,DEN vs. SAC,SAC,122,124,nba.g.2020122307
99,"Stats, LLC",260,-320,7.5,-110,-7.5,-110,227.5,-110,-110,2020-12-23,"Thu, 24 Dec 2020 02:00:00 +0000",SAC,SAC @ DEN,DEN,124,122,nba.g.2020122307
101,BetMGM,,,,,,,,,,2020-12-23,"Thu, 24 Dec 2020 02:00:00 +0000",SAC,SAC @ DEN,DEN,124,122,nba.g.2020122307
99,"Stats, LLC",-125,105,-1.5,-110,1.5,-110,226,-110,-110,2020-12-23,"Thu, 24 Dec 2020 03:00:00 +0000",POR,POR vs. UTA,UTA,100,120,nba.g.2020122322
101,BetMGM,,,,,,,,,,2020-12-23,"Thu, 24 Dec 2020 03:00:00 +0000",POR,POR vs. UTA,UTA,100,120,nba.g.2020122322
