,book_name,away_ml,home_ml,away_spread,away_line,home_spread,home_line,total,over_line,under_line,date,date_full,team,matchup,opp,points,points_opp,gid
99,"Stats, LLC",130,-150,3,-110,-3,-110,216.5,-110,-110,2022-10-18,"Tue, 18 Oct 2022 23:30:00 +0000",BOS,BOS vs. PHI,PHI,126,117,nba.g.2022101802
101,BetMGM,125,-155,3.5,-115,-3.5,-105,216.5,-110,-110,2022-10-18,"Tue, 18 Oct 2022 23:30:00 +0000",BOS,BOS vs. PHI,PHI,126,117,nba.g.2022101802
99,"Stats, LLC",130,-150,3,-110,-3,-110,216.5,-110,-110,2022-10-18,"Tue, 18 Oct 2022 23:30:00 +0000",PHI,PHI @ BOS,BOS,117,126,nba.g.2022101802
101,BetMGM,125,-155,3.5,-115,-3.5,-105,216.5,-110,-110,2022-10-18,"Tue, 18 Oct 2022 23:30:00 +0000",PHI,PHI @ BOS,BOS,117,126,nba.g.2022101802
99,"Stats, LLC",250,-310,7.5,-110,-7.5,-110,223.5,-110,-110,2022-10-18,"Wed, 19 Oct 2022 02:00:00 +0000",GS,GS vs. LAL,LAL,123,109,nba.g.2022101809
101,BetMGM,250,-300,7.5,-110,-7.5,-110,223.5,-110,-110,2022-10-18,"Wed, 19 Oct 2022 02:00:00 +0000",GS,GS vs. LAL,LAL,123,109,nba.g.2022101809
99,"Stats, LLC",250,-310,7.5,-110,-7.5,-110,223.5,-110,-110,2022-10-18,"Wed, 19 Oct 2022 02:00:00 +0000",LAL,LAL @ GS,GS,109,123,nba.g.2022101809
101,BetMGM,250,-300,7.5,-110,-7.5,-110,223.5,-110,-110,2022-10-18,"Wed, 19 Oct 2022 02:00:00 +0000",LAL,LAL @ GS,GS,109,123,nba.g.2022101809
99,"Stats, LLC",145,-170,4,-110,-4,-110,216,-110,-110,2022-10-19,"Wed, 19 Oct 2022 23:00:00 +0000",DET,DET vs. ORL,ORL,113,109,nba.g.2022101908
101,BetMGM,135,-160,3.5,-110,-3.5,-110,214.5,-115,-105,2022-10-19,"Wed, 19 Oct 2022 23:00:00 +0000",DET,DET vs. ORL,ORL,113,109,nba.g.2022101908
99,"Stats, LLC",145,-170,4,-110,-4,-110,216,-110,-110,2022-10-19,"Wed, 19 Oct 2022 23:00:00 +0000",ORL,ORL @ DET,DET,109,113,nba.g.2022101908
101,BetMGM,135,-160,3.5,-110,-3.5,-110,214.5,-115,-105,2022-10-19,"Wed, 19 Oct 2022 23:00:00 +0000",ORL,ORL @ DET,DET,109,113,nba.g.2022101908
99,"Stats, LLC",-140,120,-2.5,-110,2.5,-110,229,-110,-110,2022-10-19,"Wed, 19 Oct 2022 23:00:00 +0000",IND,IND vs. WAS,WAS,107,114,nba.g.2022101911
101,BetMGM,-140,115,-2.5,-110,2.5,-110,228.5,-110,-110,2022-10-19,"Wed, 19 Oct 2022 23:00:00 +0000",IND,IND vs. WAS,WAS,107,114,nba.g.2022101911
99,"Stats, LLC",-140,120,-2.5,-110,2.5,-110,229,-110,-110,2022-10-19,"Wed, 19 Oct 2022 23:00:00 +0000",WAS,WAS @ IND,IND,114,107,nba.g.2022101911
101,BetMGM,-140,115,-2.5,-110,2.5,-110,228.5,-110,-110,2022-10-19,"Wed, 19 Oct 2022 23:00:00 +0000",WAS,WAS @ IND,IND,114,107,nba.g.2022101911
99,"Stats, LLC",405,-555,10.5,-110,-10.5,-110,235,-110,-110,2022-10-19,"Wed, 19 Oct 2022 23:30:00 +0000",ATL,ATL vs. HOU,HOU,117,107,nba.g.2022101901
101,BetMGM,375,-500,10.5,-115,-10.5,-105,234.5,-110,-110,2022-10-19,"Wed, 19 Oct 2022 23:30:00 +0000",ATL,ATL vs. HOU,HOU,117,107,nba.g.2022101901
99,"Stats, LLC",405,-555,10.5,-110,-10.5,-110,235,-110,-110,2022-10-19,"Wed, 19 Oct 2022 23:30:00 +0000",HOU,HOU @ ATL,ATL,107,117,nba.g.2022101901
101,BetMGM,375,-500,10.5,-115,-10.5,-105,234.5,-110,-110,2022-10-19,"Wed, 19 Oct 2022 23:30:00 +0000",HOU,HOU @ ATL,ATL,107,117,nba.g.2022101901
99,"Stats, LLC",250,-310,7.5,-110,-7.5,-110,216,-110,-110,2022-10-19,"Wed, 19 Oct 2022 23:30:00 +0000",MIA,MIA vs. CHI,CHI,108,116,nba.g.2022101914
101,BetMGM,240,-300,7.5,-110,-7.5,-110,216.5,-110,-110,2022-10-19,"Wed, 19 Oct 2022 23:30:00 +0000",MIA,MIA vs. CHI,CHI,108,116,nba.g.2022101914
99,"Stats, LLC",250,-310,7.5,-110,-7.5,-110,216,-110,-110,2022-10-19,"Wed, 19 Oct 2022 23:30:00 +0000",CHI,CHI @ MIA,MIA,116,108,nba.g.2022101914
101,BetMGM,240,-300,7.5,-110,-7.5,-110,216.5,-110,-110,2022-10-19,"Wed, 19 Oct 2022 23:30:00 +0000",CHI,CHI @ MIA,MIA,116,108,nba.g.2022101914
99,"Stats, LLC",130,-150,3,-110,-3,-110,232,-110,-110,2022-10-19,"Wed, 19 Oct 2022 23:30:00 +0000",BKN,BKN vs. NO,NO,108,130,nba.g.2022101917
101,BetMGM,125,-150,2.5,-105,-2.5,-115,231.5,-115,-105,2022-10-19,"Wed, 19 Oct 2022 23:30:00 +0000",BKN,BKN vs. NO,NO,108,130,nba.g.2022101917
99,"Stats, LLC",130,-150,3,-110,-3,-110,232,-110,-110,2022-10-19,"Wed, 19 Oct 2022 23:30:00 +0000",NO,NO @ BKN,BKN,130,108,nba.g.2022101917
101,BetMGM,125,-150,2.5,-105,-2.5,-115,231.5,-115,-105,2022-10-19,"Wed, 19 Oct 2022 23:30:00 +0000",NO,NO @ BKN,BKN,130,108,nba.g.2022101917
99,"Stats, LLC",120,-140,2.5,-110,-2.5,-110,216,-110,-110,2022-10-19,"Wed, 19 Oct 2022 23:30:00 +0000",TOR,TOR vs. CLE,CLE,108,105,nba.g.2022101928
101,BetMGM,120,-145,2.5,-110,-2.5,-110,216.5,-110,-110,2022-10-19,"Wed, 19 Oct 2022 23:30:00 +0000",TOR,TOR vs. CLE,CLE,108,105,nba.g.2022101928
99,"Stats, LLC",120,-140,2.5,-110,-2.5,-110,216,-110,-110,2022-10-19,"Wed, 19 Oct 2022 23:30:00 +0000",CLE,CLE @ TOR,TOR,105,108,nba.g.2022101928
101,BetMGM,120,-145,2.5,-110,-2.5,-110,216.5,-110,-110,2022-10-19,"Wed, 19 Oct 2022 23:30:00 +0000",CLE,CLE @ TOR,TOR,105,108,nba.g.2022101928
99,"Stats, LLC",165,-195,4.5,-110,-4.5,-110,227,-110,-110,2022-10-19,"Wed, 19 Oct 2022 23:30:00 +0000",MEM,MEM vs. NY,NY,115,112,nba.g.2022101929
