,book_name,away_ml,home_ml,away_spread,away_line,home_spread,home_line,total,over_line,under_line,date,date_full,team,matchup,opp,points,points_opp,gid
24,5dimes.eu,167,-178,4.5,-109,-4.5,-101,216,-102,-108,2017-10-17,"Wed, 18 Oct 2017 00:00:00 +0000",CLE,CLE vs. BOS,BOS,102,99,nba.g.2017101705
29,MYBookie.ag,165,-195,4.5,-110,-4.5,-110,216,-110,-110,2017-10-17,"Wed, 18 Oct 2017 00:00:00 +0000",CLE,CLE vs. BOS,BOS,102,99,nba.g.2017101705
24,5dimes.eu,167,-178,4.5,-109,-4.5,-101,216,-102,-108,2017-10-17,"Wed, 18 Oct 2017 00:00:00 +0000",BOS,BOS @ CLE,CLE,99,102,nba.g.2017101705
29,MYBookie.ag,165,-195,4.5,-110,-4.5,-110,216,-110,-110,2017-10-17,"Wed, 18 Oct 2017 00:00:00 +0000",BOS,BOS @ CLE,CLE,99,102,nba.g.2017101705
24,5dimes.eu,410,-460,9.5,-108,-9.5,-102,231,-102,-108,2017-10-17,"Wed, 18 Oct 2017 02:30:00 +0000",GS,GS vs. HOU,HOU,121,122,nba.g.2017101709
29,MYBookie.ag,370,-495,9.5,-110,-9.5,-110,231,-110,-110,2017-10-17,"Wed, 18 Oct 2017 02:30:00 +0000",GS,GS vs. HOU,HOU,121,122,nba.g.2017101709
24,5dimes.eu,410,-460,9.5,-108,-9.5,-102,231,-102,-108,2017-10-17,"Wed, 18 Oct 2017 02:30:00 +0000",HOU,HOU @ GS,GS,122,121,nba.g.2017101709
29,MYBookie.ag,370,-495,9.5,-110,-9.5,-110,231,-110,-110,2017-10-17,"Wed, 18 Oct 2017 02:30:00 +0000",HOU,HOU @ GS,GS,122,121,nba.g.2017101709
24,5dimes.eu,135,-145,3,-109,-3,-101,202,-102,-108,2017-10-18,"Wed, 18 Oct 2017 23:00:00 +0000",DET,DET vs. CHA,CHA,102,90,nba.g.2017101808
25,BOVADA.LV,125,-145,3,-105,-3,-115,202,-110,-110,2017-10-18,"Wed, 18 Oct 2017 23:00:00 +0000",DET,DET vs. CHA,CHA,102,90,nba.g.2017101808
29,MYBookie.ag,125,-145,3,-110,-3,-110,202,-110,-110,2017-10-18,"Wed, 18 Oct 2017 23:00:00 +0000",DET,DET vs. CHA,CHA,102,90,nba.g.2017101808
24,5dimes.eu,135,-145,3,-109,-3,-101,202,-102,-108,2017-10-18,"Wed, 18 Oct 2017 23:00:00 +0000",CHA,CHA @ DET,DET,90,102,nba.g.2017101808
25,BOVADA.LV,125,-145,3,-105,-3,-115,202,-110,-110,2017-10-18,"Wed, 18 Oct 2017 23:00:00 +0000",CHA,CHA @ DET,DET,90,102,nba.g.2017101808
29,MYBookie.ag,125,-145,3,-110,-3,-110,202,-110,-110,2017-10-18,"Wed, 18 Oct 2017 23:00:00 +0000",CHA,CHA @ DET,DET,90,102,nba.g.2017101808
24,5dimes.eu,140,-150,3,-105,-3,-105,216.5,-108,-102,2017-10-18,"Wed, 18 Oct 2017 23:00:00 +0000",IND,IND vs. BKN,BKN,140,131,nba.g.2017101811
25,BOVADA.LV,135,-155,3,-110,-3,-110,217,-110,-110,2017-10-18,"Wed, 18 Oct 2017 23:00:00 +0000",IND,IND vs. BKN,BKN,140,131,nba.g.2017101811
29,MYBookie.ag,130,-150,3,-110,-3,-110,216.5,-110,-110,2017-10-18,"Wed, 18 Oct 2017 23:00:00 +0000",IND,IND vs. BKN,BKN,140,131,nba.g.2017101811
24,5dimes.eu,140,-150,3,-105,-3,-105,216.5,-108,-102,2017-10-18,"Wed, 18 Oct 2017 23:00:00 +0000",BKN,BKN @ IND,IND,131,140,nba.g.2017101811
25,BOVADA.LV,135,-155,3,-110,-3,-110,217,-110,-110,2017-10-18,"Wed, 18 Oct 2017 23:00:00 +0000",BKN,BKN @ IND,IND,131,140,nba.g.2017101811
29,MYBookie.ag,130,-150,3,-110,-3,-110,216.5,-110,-110,2017-10-18,"Wed, 18 Oct 2017 23:00:00 +0000",BKN,BKN @ IND,IND,131,140,nba.g.2017101811
24,5dimes.eu,-160,150,-3.5,-107,3.5,-103,205.5,-107,-103,2017-10-18,"Wed, 18 Oct 2017 23:00:00 +0000",ORL,ORL vs. MIA,MIA,116,109,nba.g.2017101819
25,BOVADA.LV,-170,150,-4,-110,4,-110,205,-115,-105,2017-10-18,"Wed, 18 Oct 2017 23:00:00 +0000",ORL,ORL vs. MIA,MIA,116,109,nba.g.2017101819
29,MYBookie.ag,-170,145,-3.5,-110,3.5,-110,205.5,-110,-110,2017-10-18,"Wed, 18 Oct 2017 23:00:00 +0000",ORL,ORL vs. MIA,MIA,116,109,nba.g.2017101819
24,5dimes.eu,-160,150,-3.5,-107,3.5,-103,205.5,-107,-103,2017-10-18,"Wed, 18 Oct 2017 23:00:00 +0000",MIA,MIA @ ORL,ORL,109,116,nba.g.2017101819
25,BOVADA.LV,-170,150,-4,-110,4,-110,205,-115,-105,2017-10-18,"Wed, 18 Oct 2017 23:00:00 +0000",MIA,MIA @ ORL,ORL,109,116,nba.g.2017101819
29,MYBookie.ag,-170,145,-3.5,-110,3.5,-110,205.5,-110,-110,2017-10-18,"Wed, 18 Oct 2017 23:00:00 +0000",MIA,MIA @ ORL,ORL,109,116,nba.g.2017101819
